_time;_value;_field;_time;_value;_field;;_time;_value;_field;_time;_value;_field
2022-05-09T16:50:59.8Z;10.9;Accelerazione_Max_DX;2022-05-09T16:50:59.8Z;10.3;Accelerazione_Max_SX;;2022-05-09T16:50:59.5Z;10.85;Accelerazione_Media_DX;2022-05-09T16:50:59.6Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:00.5Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.3;Accelerazione_Max_SX;;2022-05-09T16:51:00.2Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:00.6Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:01.2Z;10.97;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.29;Accelerazione_Max_SX;;2022-05-09T16:51:01Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:01.3Z;10.26;Accelerazione_Media_SX
2022-05-09T16:51:02.3Z;10.89;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:02.1Z;10.84;Accelerazione_Media_DX;2022-05-09T16:51:02.3Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:03Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:02.7Z;10.84;Accelerazione_Media_DX;2022-05-09T16:51:03Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:04Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.28;Accelerazione_Max_SX;;2022-05-09T16:51:03.7Z;10.84;Accelerazione_Media_DX;2022-05-09T16:51:03.9Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:05.2Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:04.6Z;10.84;Accelerazione_Media_DX;2022-05-09T16:51:04.8Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:05.9Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:05.7Z;10.84;Accelerazione_Media_DX;2022-05-09T16:51:05.9Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:07Z;10.88;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:06.8Z;10.84;Accelerazione_Media_DX;2022-05-09T16:51:06.9Z;10.25;Accelerazione_Media_SX
2022-05-09T16:51:08.1Z;10.87;Accelerazione_Max_DX;2022-05-09T16:51:00.8Z;10.27;Accelerazione_Max_SX;;2022-05-09T16:51:07.6Z;10.85;Accelerazione_Media_DX;2022-05-09T16:51:07.9Z;10.25;Accelerazione_Media_SX
